submit,group,exp_id,story,hypothesis,train_mode,world_size,pipe_stages,K,steps,lr,step_size,weight_mode,last2_beta,seed,num_nodes,ppn,eval_images,notes,train_walltime,eval_walltime,queue,save_every,vis_every,batch_size,sigma_pd,noise_std,langevin_sign,weight_decay,max_grad_norm,data_dir,sync_fresh_init,debug_level,log_every,eval_batch,k_eval,eval_seed,reference_run_dir,reference_eval_dir,reference_metrics_json,reference_stats_json,reference_walltime_seconds,submitted_at,train_run_dir,eval_run_dir,train_job_id,eval_job_id
0,A0,A0_single_strict_300k_ref,Q0 baseline alignment,Reference single strict milestone,single_fullk,1,1,100,300000,1e-4,1.0,uniform,0.01,1,1,1,5000,reference_only,03:00:00,02:00:00,preemptable,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_baseline/orig_single_semantics_fid_s300000_K100_20260324_001055,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_baseline/orig_single_semantics_fid_s300000_K100_20260324_001055,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_baseline/orig_single_semantics_fid_s300000_K100_20260324_001055/metrics_compare.json,,27582,2026-03-29T04:06:31Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_baseline/orig_single_semantics_fid_s300000_K100_20260324_001055,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_baseline/orig_single_semantics_fid_s300000_K100_20260324_001055,,
0,A0,A0_ddp_strict_300k_ref,Q0 baseline alignment,Reference ddp strict milestone,ddp_fullk,4,0,100,300000,1e-4,1.0,uniform,0.01,1,1,4,5000,reference_only,03:00:00,02:00:00,preemptable,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_dual/modea_fullk_align128/ddp_fullk_s300k_seed1_syncinit_20260324_165322,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_dual/modea_fullk_align128/ddp_fullk_s300k_seed1_syncinit_20260324_165322/eval,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_dual/modea_fullk_align128/ddp_fullk_s300k_seed1_syncinit_20260324_165322/eval/metrics_compare_20260325_055841.json,,30394,2026-03-29T04:06:31Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_dual/modea_fullk_align128/ddp_fullk_s300k_seed1_syncinit_20260324_165322,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_dual/modea_fullk_align128/ddp_fullk_s300k_seed1_syncinit_20260324_165322/eval,,
0,A0,A0_pipeline_strict_300k_ref,Q0 baseline alignment,Reference pipeline strict milestone,pipe_strict,4,4,100,300000,1e-4,1.0,last2_beta,0.01,1,1,4,5000,reference_only,03:00:00,02:00:00,preemptable,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,1,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_strict/pipeline_strict_s300k_b001_lr1e-4_seed1_syncinit_20260324_165322,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_strict/pipeline_strict_s300k_b001_lr1e-4_seed1_syncinit_20260324_165322/eval,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_strict/pipeline_strict_s300k_b001_lr1e-4_seed1_syncinit_20260324_165322/eval/metrics_compare_step299999_20260325_011109.json,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_strict/pipeline_strict_s300k_b001_lr1e-4_seed1_syncinit_20260324_165322/eval/last1k_stats.json,13139,2026-03-29T04:06:31Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_strict/pipeline_strict_s300k_b001_lr1e-4_seed1_syncinit_20260324_165322,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_pipeline_strict/pipeline_strict_s300k_b001_lr1e-4_seed1_syncinit_20260324_165322/eval,,
1,A1,A1_single_fullk_k100_s20k,Q1 weighted_sum factor,Single GPU control on common infrastructure,single_fullk,1,1,100,20000,1e-4,1.0,uniform,0.01,1,1,1,5000,single_control,03:00:00,02:00:00,preemptable,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,1,,,,,,2026-03-29T04:06:31Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A1/A1_single_fullk_k100_s20k_20260329_040631,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A1/A1_single_fullk_k100_s20k_20260329_040631/eval,6979879.polaris-pbs*,6979880.polaris-pbs*
1,A1,A1_single_pipe_uniform_p4_k100_s20k,Q1 weighted_sum factor,Uniform weighted mixture on one GPU,single_pipe_emul,1,4,100,20000,1e-4,1.0,uniform,0.01,1,1,1,5000,weighted_sum_uniform,03:00:00,02:00:00,preemptable,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,1,,,,,,2026-03-29T04:06:31Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A1/A1_single_pipe_uniform_p4_k100_s20k_20260329_040631,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A1/A1_single_pipe_uniform_p4_k100_s20k_20260329_040631/eval,6979881.polaris-pbs*,6979882.polaris-pbs*
1,A1,A1_single_pipe_deep_p4_k100_s20k,Q1 weighted_sum factor,Deepest_only weighted mixture on one GPU,single_pipe_emul,1,4,100,20000,1e-4,1.0,deep_only,0.01,1,1,1,5000,weighted_sum_deep_only,03:00:00,02:00:00,preemptable,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,1,,,,,,2026-03-29T04:06:31Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A1/A1_single_pipe_deep_p4_k100_s20k_20260329_040631,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A1/A1_single_pipe_deep_p4_k100_s20k_20260329_040631/eval,6979883.polaris-pbs*,6979884.polaris-pbs*
1,A1,A1_single_pipe_last2b001_p4_k100_s20k,Q1 weighted_sum factor,Last2_beta weighted mixture on one GPU,single_pipe_emul,1,4,100,20000,1e-4,1.0,last2_beta,0.01,1,1,1,5000,weighted_sum_last2_beta,03:00:00,02:00:00,preemptable,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,1,,,,,,2026-03-29T04:06:31Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A1/A1_single_pipe_last2b001_p4_k100_s20k_20260329_040631,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A1/A1_single_pipe_last2b001_p4_k100_s20k_20260329_040631/eval,6979885.polaris-pbs*,6979886.polaris-pbs*
1,A2,A2_pipe_uniform_p2_k100_s20k,Q2 pipeline factor,Uniform weighting with stage_count_2,pipe_strict,2,2,100,20000,1e-4,1.0,uniform,0.01,1,1,2,5000,stage_count_uniform,03:00:00,02:00:00,preemptable,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,1,,,,,,2026-03-29T14:50:53Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A2/A2_pipe_uniform_p2_k100_s20k_20260329_145053,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A2/A2_pipe_uniform_p2_k100_s20k_20260329_145053/eval,6980018.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,6980019.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov
1,A2,A2_pipe_uniform_p4_k100_s20k,Q2 pipeline factor,Uniform weighting with stage_count_4,pipe_strict,4,4,100,20000,1e-4,1.0,uniform,0.01,1,1,4,5000,stage_count_uniform,03:00:00,02:00:00,preemptable,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,1,,,,,,2026-03-29T14:50:53Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A2/A2_pipe_uniform_p4_k100_s20k_20260329_145053,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A2/A2_pipe_uniform_p4_k100_s20k_20260329_145053/eval,6980020.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,6980021.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov
1,A2,A2_pipe_uniform_p8_k100_s20k,Q2 pipeline factor,Uniform weighting with stage_count_8,pipe_strict,8,8,100,20000,1e-4,1.0,uniform,0.01,1,2,4,5000,stage_count_uniform,04:00:00,02:00:00,preemptable,5000,1000,64,0.03,0.01,1.0,0.0,0.0,/eagle/lc-mpi/Zhiqing/ebm/data/cifar10,1,1,10,256,100,1,,,,,,2026-03-29T14:53:26Z,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A2/A2_pipe_uniform_p8_k100_s20k_20260329_145326,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A2/A2_pipe_uniform_p8_k100_s20k_20260329_145326/eval,6980030.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
